gene,scores,log2FC,pvals,padj,significance
AC084855.2,-0.057430662,-0.85529405,0.9542021375656481,0.9999916980191528,NS
DBH,-0.057435546,-0.9011606,0.9541982492274537,0.9999916980191528,NS
AL031283.1,-0.057554625,-0.2608756,0.9541033945783425,0.9999916980191528,NS
FLT3LG,-0.057556294,-0.086887665,0.9541020643667389,0.9999916980191528,NS
CCDC70,-0.057603054,-2.7725773,0.9540648184937613,0.9999916980191528,NS
LINC01522,-0.05760485,-3.049365,0.9540633859621882,0.9999916980191528,NS
AC012186.2,-0.057606135,-3.359022,0.9540623627254411,0.9999916980191528,NS
AC073091.3,-0.057620395,-0.46338144,0.9540510048026332,0.9999916980191528,NS
AL162385.1,-0.057641204,-0.5239005,0.9540344283914999,0.9999916980191528,NS
GTF2E2,-0.05768321,-0.016966818,0.9540009686592388,0.9999916980191528,NS
FUT8-AS1,-0.057773773,-0.5293391,0.9539288309802569,0.9999916980191528,NS
B4GALT1-AS1,-0.05780961,-0.8271064,0.9539002829817167,0.9999916980191528,NS
RELA-DT,-0.05782207,-0.19246782,0.9538903577057564,0.9999916980191528,NS
SLC26A4-AS1,-0.05783132,-0.20178413,0.9538829904952344,0.9999916980191528,NS
CLEC18C,-0.057972364,-1.7624482,0.9537706410234011,0.9999916980191528,NS
C8orf49,-0.057973906,-1.9698538,0.9537694131653917,0.9999916980191528,NS
AC104971.1,-0.05797519,-2.158141,0.9537683899504676,0.9999916980191528,NS
KCNAB1-AS2,-0.057975963,-2.191291,0.9537677760215498,0.9999916980191528,NS
MNX1-AS2,-0.05797622,-2.1932228,0.9537675713785834,0.9999916980191528,NS
AL135926.2,-0.05797622,-2.2576332,0.9537675713785834,0.9999916980191528,NS
AC100803.2,-0.057976477,-2.2932637,0.9537673667356199,0.9999916980191528,NS
AC068385.1,-0.057977248,-2.2985477,0.9537667528067477,0.9999916980191528,NS
AL161733.1,-0.057977248,-2.3807924,0.9537667528067477,0.9999916980191528,NS
NCBP2-AS1,-0.057985466,-0.3987338,0.9537602042338189,0.9999916980191528,NS
AC097480.1,-0.057994973,-0.41573763,0.9537526324502617,0.9999916980191528,NS
AC084064.1,-0.05800872,-0.5072766,0.953741684067905,0.9999916980191528,NS
AC006435.2,-0.058028243,-0.119461305,0.9537261312406875,0.9999916980191528,NS
ANGPTL6,-0.058030557,-0.53172976,0.9537242894596839,0.9999916980191528,NS
B4GALT4-AS1,-0.058168005,-0.016688498,0.9536148062554547,0.9999916980191528,NS
AL512506.1,-0.058174297,-0.72683334,0.9536097925595702,0.9999916980191528,NS
AC087289.5,-0.0581865,-0.85661787,0.953600072134004,0.9999916980191528,NS
KY,-0.058245208,-0.22106746,0.9535533118675064,0.9999916980191528,NS
ADAMTS15,-0.05826242,-0.08725758,0.9535396010100434,0.9999916980191528,NS
AC021483.2,-0.058343478,-1.5741316,0.9534750373810635,0.9999916980191528,NS
RNF185-AS1,-0.05834553,-1.5864358,0.9534734002724102,0.9999916980191528,NS
ANP32D,-0.058346815,-1.7399914,0.9534723770796016,0.9999916980191528,NS
LINC00391,-0.058346815,-1.7208958,0.9534723770796016,0.9999916980191528,NS
AC005828.4,-0.058347072,-1.733677,0.9534721724410491,0.9999916980191528,NS
ADAM18,-0.058347844,-1.8276373,0.9534715585254099,0.9999916980191528,NS
AC010255.2,-0.05834887,-1.9079201,0.9534707399712673,0.9999916980191528,NS
AP003065.1,-0.05834913,-1.8863732,0.9534705353327393,0.9999916980191528,NS
ZSCAN10,-0.058349386,-2.0104747,0.9534703306942144,0.9999916980191528,NS
AC092143.2,-0.058349643,-1.8791692,0.9534701260556926,0.9999916980191528,NS
AC004837.4,-0.05835234,-0.40131292,0.9534679773513983,0.9999916980191528,NS
DNAJC11,-0.058366984,-0.046192642,0.9534563129625605,0.9999916980191528,NS
KCNK9,-0.058510214,-0.44189453,0.9533422275802025,0.9999916980191528,NS
AL359921.2,-0.05851946,-0.509846,0.9533348606645824,0.9999916980191528,NS
PRSS38,-0.058527425,-0.5569591,0.9533285169348823,0.9999916980191528,NS
