pathway,ligand,receptor,sender,receiver,COVID,Control,log2FC
Chemokine_signaling,CCL3,CCR1,NK_cell,Fibroblast,0.0010720724,0.00020564004,0.78127515
Chemokine_signaling,CCL3,CCR1,NK_cell,Mast_cell,0.0021235268,0.0,1.643176
Chemokine_signaling,CCL3,CCR1,NK_cell,Myeloid,0.016904557,0.0035147138,1.9876205
Chemokine_signaling,CCL3,CCR1,NK_cell,NK_cell,0.0052618175,0.00029720104,2.2711794
Chemokine_signaling,CCL3,CCR1,NK_cell,Plasma_cell,0.00015754791,0.0,0.2110718
Chemokine_signaling,CCL3,CCR1,NK_cell,T_cell,0.00093777775,6.0301838e-05,0.86992794
Chemokine_signaling,CCL3,CCR1,Plasma_cell,B_cell,4.72642e-06,4.5709487e-05,-0.05767925
Chemokine_signaling,CCL3,CCR1,Plasma_cell,Endothelial,3.1207776e-06,0.0,0.0044953227
Chemokine_signaling,CCL3,CCR1,Plasma_cell,Epithelial,1.3412129e-06,1.2966147e-05,-0.016652247
Chemokine_signaling,CCL3,CCR1,Plasma_cell,Fibroblast,7.85973e-06,4.390704e-05,-0.050698332
Chemokine_signaling,CCL3,CCR1,Plasma_cell,Mast_cell,1.5568303e-05,0.0,0.022287376
Chemokine_signaling,CCL3,CCR1,Plasma_cell,Myeloid,0.0001239331,0.0007504408,-0.639162
Chemokine_signaling,CCL3,CCR1,Plasma_cell,NK_cell,3.857619e-05,6.34566e-05,-0.03415408
Chemokine_signaling,CCL3,CCR1,Plasma_cell,Plasma_cell,1.1550377e-06,0.0,0.0016653782
Chemokine_signaling,CCL3,CCR1,Plasma_cell,T_cell,6.87517e-06,1.287529e-05,-0.008571748
Chemokine_signaling,CCL3,CCR1,T_cell,B_cell,8.9256595e-05,1.6583757e-05,0.099614754
Chemokine_signaling,CCL3,CCR1,T_cell,Endothelial,5.893467e-05,0.0,0.08261362
Chemokine_signaling,CCL3,CCR1,T_cell,Epithelial,2.5328283e-05,4.704219e-06,0.029315032
Chemokine_signaling,CCL3,CCR1,T_cell,Fibroblast,0.00014842796,1.5929816e-05,0.17685977
Chemokine_signaling,CCL3,CCR1,T_cell,Mast_cell,0.00029400134,0.0,0.3718391
Chemokine_signaling,CCL3,CCR1,T_cell,Myeloid,0.0023404285,0.00027226578,1.3926332
Chemokine_signaling,CCL3,CCR1,T_cell,NK_cell,0.0007284963,2.302255e-05,0.7566795
Chemokine_signaling,CCL3,CCR1,T_cell,Plasma_cell,2.1812437e-05,0.0,0.031130403
Chemokine_signaling,CCL3,CCR1,T_cell,T_cell,0.00012983491,4.6712557e-06,0.16938831
Chemokine_signaling,CCL3,CCR5,B_cell,B_cell,6.797198e-05,0.0,0.09487375
Chemokine_signaling,CCL3,CCR5,B_cell,Endothelial,1.2211059e-05,0.0,0.017510178
Chemokine_signaling,CCL3,CCR5,B_cell,Epithelial,5.7254215e-06,0.0,0.008236427
Chemokine_signaling,CCL3,CCR5,B_cell,Fibroblast,2.5797874e-06,0.0,0.003717084
Chemokine_signaling,CCL3,CCR5,B_cell,Mast_cell,1.4593266e-05,0.0,0.020901458
Chemokine_signaling,CCL3,CCR5,B_cell,Myeloid,0.00014163711,0.0,0.1911041
Chemokine_signaling,CCL3,CCR5,B_cell,NK_cell,0.0006589026,0.0,0.73022914
Chemokine_signaling,CCL3,CCR5,B_cell,Plasma_cell,1.6117045e-05,0.0,0.023066496
Chemokine_signaling,CCL3,CCR5,B_cell,T_cell,0.0005276046,0.0,0.61127114
Chemokine_signaling,CCL3,CCR5,Endothelial,B_cell,2.4489176e-05,0.0,0.034904726
Chemokine_signaling,CCL3,CCR5,Endothelial,Endothelial,4.3994414e-06,1.123774e-06,0.0047128736
Chemokine_signaling,CCL3,CCR5,Endothelial,Epithelial,2.0627745e-06,6.900251e-07,0.00197782
Chemokine_signaling,CCL3,CCR5,Endothelial,Fibroblast,9.294546e-07,1.3646288e-06,-0.000627099
Chemokine_signaling,CCL3,CCR5,Endothelial,Mast_cell,5.2577116e-06,0.0,0.0075652525
Chemokine_signaling,CCL3,CCR5,Endothelial,Myeloid,5.10295e-05,8.127263e-06,0.060125273
Chemokine_signaling,CCL3,CCR5,Endothelial,NK_cell,0.00023739165,1.1484582e-05,0.29082784
Chemokine_signaling,CCL3,CCR5,Endothelial,Plasma_cell,5.806704e-06,2.6069504e-06,0.0045968164
Chemokine_signaling,CCL3,CCR5,Endothelial,T_cell,0.00019008719,2.517725e-05,0.21519391
Chemokine_signaling,CCL3,CCR5,Epithelial,B_cell,1.1560972e-05,0.0,0.016583204
Chemokine_signaling,CCL3,CCR5,Epithelial,Endothelial,2.0769103e-06,2.3439094e-07,0.002655203
Chemokine_signaling,CCL3,CCR5,Epithelial,Epithelial,9.738048e-07,1.4392184e-07,0.0011966748
Chemokine_signaling,CCL3,CCR5,Epithelial,Fibroblast,4.3878154e-07,2.8462716e-07,0.00022235642
Chemokine_signaling,CCL3,CCR5,Epithelial,Mast_cell,2.4820868e-06,0.0,0.0035764142
Chemokine_signaling,CCL3,CCR5,Epithelial,Myeloid,2.409026e-05,1.6951423e-06,0.03189938
Chemokine_signaling,CCL3,CCR5,Epithelial,NK_cell,0.000112069036,2.3953942e-06,0.14979471
Chemokine_signaling,CCL3,CCR5,Epithelial,Plasma_cell,2.7412577e-06,5.437441e-07,0.003165134
Chemokine_signaling,CCL3,CCR5,Epithelial,T_cell,8.97373e-05,5.2513396e-06,0.116424076
Chemokine_signaling,CCL3,CCR5,Fibroblast,B_cell,1.06175285e-05,0.0,0.015237059
Chemokine_signaling,CCL3,CCR5,Fibroblast,Endothelial,1.907422e-06,2.0312268e-06,-0.00017818502
Chemokine_signaling,CCL3,CCR5,Fibroblast,Epithelial,8.9433655e-07,1.2472235e-06,-0.00050864235
Chemokine_signaling,CCL3,CCR5,Fibroblast,Fibroblast,4.0297436e-07,2.4665728e-06,-0.002972857
Chemokine_signaling,CCL3,CCR5,Fibroblast,Mast_cell,2.2795339e-06,0.0,0.0032849098
Chemokine_signaling,CCL3,CCR5,Fibroblast,Myeloid,2.2124352e-05,1.4690065e-05,0.010531521
Chemokine_signaling,CCL3,CCR5,Fibroblast,NK_cell,0.000102923535,2.0758433e-05,0.111691125
Chemokine_signaling,CCL3,CCR5,Fibroblast,Plasma_cell,2.5175548e-06,4.7120743e-06,-0.0031545123
Chemokine_signaling,CCL3,CCR5,Fibroblast,T_cell,8.241421e-05,4.5507993e-05,0.05004857
